Target,RÂ²,RMSE,MAE
BlendProperty1,0.8814778466339165,0.33007834632003896,0.25789725623811627
BlendProperty2,0.9096685099682056,0.2882045819926798,0.22306780045421776
BlendProperty3,0.8967134563021781,0.3144812022063278,0.24809453315040295
BlendProperty4,0.9012803903885505,0.3118457078006331,0.243777518535132
BlendProperty5,0.9345867153046211,0.2646831044558332,0.15897972382763595
BlendProperty6,0.88622066525496,0.3352407348016056,0.2509570604382511
BlendProperty7,0.8964491866936543,0.3150841581533528,0.24491208243782217
BlendProperty8,0.9005060488755714,0.3095954178675802,0.23716336673588664
BlendProperty9,0.851463453217826,0.39558995337673203,0.29805202377085743
BlendProperty10,0.9167211619634181,0.29184571550532995,0.22584495420961118
